GP,GS,#,Name,Class,Position,Height,Hometown,High School,team,teamID
33,4,21,Kierra Adams,Sr.,F,6-0,"Vancouver, WA",Brookwood,FGCU,560561
4,0,12,Alyssa Jimenez,Sr.,G,6-0,"Thornton, CO",Horizon,FGCU,560561
7,0,23,Ashley Baez,Jr.,G,5-6,"Santo Domingo, Dominican Republic",,FGCU,560561
33,33,24,Uju Ezeudu,Sr.,F,6-0,"Reynoldsburg, OH",Reynoldsburg,FGCU,560561
3,2,0,Casey Santoro,Sr.,G,5-4,"Bellevue, OH",Bellevue,FGCU,560561
33,2,14,Shekinah Guthrie,Sr.,F,5-10,"Atlanta, GA",Centennial,FGCU,560561
34,22,2,Sofia Persson,Sr.,G,5-8,"Arvika, Sweden",Lulea Gymnasieskola,FGCU,560561
32,31,4,Dolly Cairns,Sr.,G,5-6,"Saratoga Springs, NY",Saratoga Springs,FGCU,560561
34,30,5,Ajulu Thatha,Sr.,F,6-1,"Indianapolis, IN",Decatur Central,FGCU,560561
27,1,20,Maca Retamales,Jr.,G,6-1,"Santiago, Chile",,FGCU,560561
0,0,32,Emani Theodule,Fr.,G,5-6,"Miramar, FL",American Heritage,FGCU,560561
29,6,34,Tessa Chaney,So.,C,6-3,"Saratoga Spgs, UT",Westlake HS,Utah Valley,560563
1,0,22,Hanna Roberts,Sr.,F,6-1,"Riverton, UT",Riverton,Utah Valley,560563
26,3,24,Kaylee Byon,So.,G,5-7,"Buena Park, CA",Rosary Academy,Utah Valley,560563
2,0,4,Abby Hendricks,So.,G,5-6,"Carlsbad, CA",La Costa Canyon,Utah Valley,560563
28,20,1,Kylee Mabry,So.,G,5-11,"Kaysville, UT",Davis,Utah Valley,560563
5,1,2,Elina Tausinga,Jr.,F,5-10,"Salt Lake City, UT",East,Utah Valley,560563
8,0,14,Abby Conlee,Jr.,G,6-0,"Alpine, UT",Lone Peak,Utah Valley,560563
29,28,13,Ally Criddle,Jr.,G,5-8,"Lehi, UT",Skyridge,Utah Valley,560563
29,26,12,Eleyana Tafisi,Jr.,G,5-6,"West Jordan, UT",Copper Hills,Utah Valley,560563
21,0,10,Saige Gibb,So.,G,5-10,"Raymond, Canada",Timpview,Utah Valley,560563
22,15,21,Tahlia White,Jr.,G,6-0,"Orem, UT",Mountain View,Utah Valley,560563
26,15,25,Halle Nelson,So.,G,6-1,"American Fork, UT",American Fork,Utah Valley,560563
26,1,5,Jenna Dick,Sr.,G,5-7,"Langley, Canada",Brookswood Secondary,Utah Valley,560563
29,23,23,Liana Kaitu'u,Sr.,F,6-0,"Salt Lake City, UT",East HS,Utah Valley,560563
27,7,3,Amanda Barcello,So.,G,5-11,"Chandler, AZ",Seton Cathloic,Utah Valley,560563
0,0,8,Noga Haran,Fr.,G,5-9,"Modi‘in Makkabbim Re‘ut, Israel",Emek Harod,Utah Valley,560563
28,6,22,Lydia Melashenko,So.,G,5-7,"Ottawa, Canada",Capital Courts Academy,Merrimack,560564
20,16,14,Amaya Staton,Sr.,F,6-1,"Lorain, OH",Cleveland State,Merrimack,560564
19,14,3,Ava Owens,Jr.,F,5-10,"Pelham, NH",St. Andrews School,Merrimack,560564
20,2,24,Molly Manion,Jr.,G,5-11,"West Chester, PA",West Chester Henderson,Merrimack,560564
2,0,15,Antoinette Okoh,Jr.,F,5-11,"Brockton, MA",Cardinal Spellman,Merrimack,560564
31,15,0,Madison Roman,Fr.,F,6-0,"Fairfield, CT",Fairfield Ludlow High School,Merrimack,560564
1,0,13,Tara Murray,Fr.,G,5-11,"Deer Park, NY",St. Mary's High School,Merrimack,560564
31,31,1,Jayme DeCesare,Sr.,G,5-5,"Johnston, RI",La Salle Academy,Merrimack,560564
30,13,10,Paloma Garcia,Fr.,G,5-6,"Corozal, Puerto Rico",Proctor Academy,Merrimack,560564
0,0,12,Izabella Forker,Fr.,G,5-8,"Telford, PA",Fairfield,Merrimack,560564
27,9,40,Rose Caso,So.,G,5-10,"Ellington, CT",Suffield Academy,Merrimack,560564
26,16,11,Thalia Shepard,Fr.,G,5-9,"Boston, MA",St. Andrew's School,Merrimack,560564
29,18,2,Diamond Christian,Sr.,G,5-5,"Bronx, NY",The Pennington School,Merrimack,560564
0,0,32,Kylee Fears,Fr.,F,6-1,"Oxford, OH",Talawanda High School,Merrimack,560564
18,15,5,Kaylee Thomas,Sr.,G,5-9,"North Chelmsford, MA",Central Catholic High School,Merrimack,560564
29,0,21,Cadence Johnson,Fr.,F,6-0,"Mattapoisett, MA",St. Andrew's School,Merrimack,560564
25,0,5,Gabby Louther,So.,G,5-11,"Pueblo West, CO",Pueblo West HS,UC San Diego,560566
0,0,25,Junae Mahan,So.,G,5-8,"Stockton, CA",Lincoln HS,UC San Diego,560566
6,0,2,Grace Talbot,So.,G,5-7,"Littleton, CO",Chatfield Senior HS,UC San Diego,560566
29,14,22,Gracie Gallegos,Fr.,G,6-1,"Denver, CO",Mullen HS,UC San Diego,560566
31,16,35,Katie Springs,Jr.,C,6-0,"San Jose, CA",Archbishop Mitty HS,UC San Diego,560566
31,31,32,Parker Montgomery,Sr.,G,5-7,"Porter Ranch, CA",Marlborough HS,UC San Diego,560566
31,24,20,Izzy Forsyth,Jr.,G,6-0,"Vancouver, Canada",Semiahmoo Secondary,UC San Diego,560566
31,3,23,Eri Blithikioti,Fr.,G,5-11,"Athens, Greece",ACS Athens,UC San Diego,560566
23,0,11,Erin Condron,Fr.,F,6-4,"Woodend, Australia",Braemar College,UC San Diego,560566
15,2,30,Damilola Sule,Jr.,F,6-0,"Bakersfield, CA",Bakersfield Christian,UC San Diego,560566
22,3,33,Emma Svoboda,Jr.,C,6-3,"La Quinta, CA",La Quinta,UC San Diego,560566
31,23,24,Denali Pinto,Sr.,G,6-0,"Boulder, CO",Fairview HS,UC San Diego,560566
6,0,13,Meaali'i Amosa,Jr.,F,6-1,"Garden Grove, CA",Mater Dei HS,UC San Diego,560566
8,8,12,Rosa Smith,So.,G,5-7,"Kirkland, WA",Lake Washington,UC San Diego,560566
31,31,3,Sumayah Sugapong,Fr.,G,5-7,"San Diego, CA",La Jolla Country Day,UC San Diego,560566
31,30,22,Tyler Jackson,Jr.,G,5-9,"Allen, TX",Allen HS,Tarleton St.,560568
30,25,24,Elise Turrubiates,Jr.,F,6-0,"Hobbs, NM",Hobbs HS,Tarleton St.,560568
30,20,4,Teresa Da Silva,Jr.,G,5-8,"London, United Kingdom",Barking Abbey,Tarleton St.,560568
24,6,1,Andjela Bigovic,So.,F,6-5,"Herceg Novi, Montenegro",Gimnazija Cetinje,Tarleton St.,560568
31,27,11,Jakoriah Long,Jr.,G,5-7,"Waco, TX",Midway HS,Tarleton St.,560568
28,1,15,Karyn Sanford,So.,G,6-0,"Bergen, Norway",Metis Videregående,Tarleton St.,560568
27,4,5,Nykesha Sanders,Jr.,G,5-7,"Detroit, MI",Chandler Park Academy HS,Tarleton St.,560568
0,0,30,Dyamon Griggs,So.,F,5-11,"Waco, TX",University HS,Tarleton St.,560568
27,25,55,Faith Acker,Fr.,C,6-2,"Winnsboro, TX",Winnsboro HS,Tarleton St.,560568
9,0,33,Malgorzata Byczkowska,So.,G,5-11,"Gdynia, Poland",The Independent School,Tarleton St.,560568
16,0,13,Vitoria Carvalho,Jr.,C,6-3,"Rio de Janeiro, Brazil",Colégio ADN Master,Tarleton St.,560568
17,1,14,Teresa Maggio,Fr.,G,5-6,"Lafayette, IN",McCutcheon HS,Tarleton St.,560568
28,4,23,Lexi Bull,Jr.,F,6-0,"Pocatello, ID",Century HS,Tarleton St.,560568
4,0,2,Anya McKenzie,Fr.,F,6-2,"Luton, United Kingdom",Copleston HS,Tarleton St.,560568
29,12,10,Miannah Little,Jr.,G,5-6,"Waco, TX",Connally HS,Tarleton St.,560568
32,31,2,Chloe Webb,Sr.,G,5-8,"San Diego, CA",Mater Dei Catholic,California Baptist,560570
30,29,12,Nae Nae Calhoun,Sr.,G,5-5,"Riverside, CA",,California Baptist,560570
24,18,5,Filipa Barros,So.,G,5-9,"Vermoim, Portugal",,California Baptist,560570
32,32,3,Kinsley Barrington,Sr.,F,6-1,"Orem, UT",Timpview High School,California Baptist,560570
10,10,33,Grace Schmidt,So.,F,6-0,"Ixonia, WI",Watertown Luther Prep,California Baptist,560570
30,0,20,Emily Sewell,Jr.,F,6-3,"Melbourne, Australia",Centre of Excellence,California Baptist,560570
23,1,22,Sydney White,Fr.,G,5-9,"Centennial, CO",Centennial HS,California Baptist,560570
31,24,15,Anaiyah Tu'ua,So.,G,5-9,"Anaheim, CA",Troy HS,California Baptist,560570
22,8,24,Khloe Lemon,Fr.,G,5-9,"Omaha, NE",Millard South HS,California Baptist,560570
28,7,4,Nhug Bosch Duran,So.,G,5-7,"Barcelona, Spain",,California Baptist,560570
19,0,10,Claudia Fiel,Fr.,G,5-6,"Marin, Spain",Celta Baloncesto de Vigo,California Baptist,560570
0,0,32,Nia Anderson,Fr.,G,5-6,"Dublin, CA",Saint Mary's Stockton HS,California Baptist,560570
4,0,3,Ruth Balogun,Sr.,G,5-10,"Lagos, Nigeria",Hamilton Heights Christian Academy,North Ala.,560572
17,3,0,Cameron Jones,So.,F,6-2,"Broadview Heights, OH",St. Vincent-St. Mary,North Ala.,560572
30,5,21,Rhema Pegues,So.,G,5-8,"Olive Branch, MS",Olive Branch,North Ala.,560572
30,30,23,Alyssa Clutter,So.,G,5-9,"Washington, PA",Trinity,North Ala.,560572
30,4,5,Sara Wohlgemuth,Sr.,G,5-4,"Madison, CT",Daniel Hand,North Ala.,560572
15,0,1,Emma Kate Tittle,So.,G,5-7,"Tuscumbia, AL",Deshler,North Ala.,560572
30,30,15,Alexis Callins,Sr.,G,5-8,"Martin, TN",Westview High School,North Ala.,560572
25,2,20,Olivia Jones,Jr.,G,5-10,"Jackson, TN",University School of Jackson,North Ala.,560572
27,6,22,India Howard,So.,F,6-0,"Coppell, TX",Coppell,North Ala.,560572
30,24,13,Katie Criswell,Fr.,G,5-10,"Lawrenceburg, TN",Lawrence County,North Ala.,560572
21,17,12,Allie Craig Cruce,Sr.,F,6-1,"Killen, AL",Lauderdale County High School,North Ala.,560572
20,0,24,Chloe Siegel,Fr.,G,5-7,"Tuscumbia, AL",Deshler,North Ala.,560572
18,1,10,Emily Jones,Sr.,G,6-0,"Jackson, TN",University School of Jackson,North Ala.,560572
29,28,11,Veronaye Charlton,Fr.,G,5-4,"Nassau, Bahamas",Norcross,North Ala.,560572
28,12,13,Zoe Jackson,Jr.,G,5-8,"Mc Kinney, TX",Allen HS,Abilene Christian,560574
30,3,23,Claire Graham,So.,G,5-9,"Tuscola, TX",Jim Ned HS,Abilene Christian,560574
17,17,1,Aspen Thornton,Jr.,G,5-6,"Hot Springs, AR",Lake Hamilton HS,Abilene Christian,560574
12,0,20,Tristin Keller,So.,G,5-8,"Mason, TX",Mason HS,Abilene Christian,560574
10,1,32,Brooke Jessen,Jr.,F,6-1,"Spirit Lake, ID",Timberlake HS,Abilene Christian,560574
25,24,12,Addison Martin,So.,F,6-0,"Shreveport, LA",Captain Shreve HS,Abilene Christian,560574
30,30,3,Bella Earle,Jr.,G,5-10,"Corinth, TX",Denton Guyer HS,Abilene Christian,560574
30,27,10,Payton Hull,Fr.,G,-,"Peaster, TX",Peaster HS,Abilene Christian,560574
30,5,14,Meredith Mayes,Fr.,C,6-2,"Bixby, OK",Bixby HS,Abilene Christian,560574
30,0,24,Emma Troxell,Fr.,F,5-11,"Bushland, TX",Bushland HS,Abilene Christian,560574
23,5,4,Kenadi Rising,Jr.,F,5-11,"Rapid City, SD",,Abilene Christian,560574
9,0,5,Yle Exposito Perez,Jr.,G,5-7,"Canary Island, Spain",,Abilene Christian,560574
28,1,22,Gracy Wernli,Fr.,G,5-9,"Bixby, OK",Bixby HS,Abilene Christian,560574
30,25,21,Clare Traeger,Sr.,G,5-10,"Dallas, TX",Prestonwood Christian Academy,Abilene Christian,560574
10,2,25,Tahmala Thorpe,Sr.,G,5-2,"Mississauga, Canada",Loyola Catholic,Akron,560576
0,0,3,Annie Watson,So.,F,6-0,"Akron, OH",St. Vincent-St. Mary,Akron,560576
16,0,10,Alexis Stewart,Sr.,G,5-10,"Hamilton, Canada",St. Thomas More,Akron,560576
29,27,23,Zakia Rasheed,Jr.,G,5-8,"Avon, IN",Bishop Chatard,Akron,560576
29,29,34,Reagan Bass,Jr.,F,6-1,"Strongsville, OH",Strongsville,Akron,560576
29,1,0,Kaia Woods,Jr.,G,5-3,"Tiffin, OH",Royal Crown Academy,Akron,560576
26,17,2,Alexus Mobley,Jr.,G,5-7,"Indianapolis, IN",Franklin Central,Akron,560576
18,0,4,Leila Jones,Fr.,G,5-10,"Westerville, OH",Westerville South,Akron,560576
29,29,15,Morgan Haney,Sr.,G,5-8,"Piqua, OH",Miami East,Akron,560576
29,13,5,Lanae Riley,So.,F,6-2,"Akron, OH",Archbishop Hoban,Akron,560576
25,12,14,Liisa Taponen,So.,C,6-5,"Tampere, Finland",Mäkelänrinteen Upper Secondary,Akron,560576
0,0,12,Dacia Lewandowski,Fr.,G,5-11,"Pittsburgh, PA",North Catholic,Akron,560576
10,0,24,Olivia Brown,Fr.,G,6-1,"Fishers, IN",Hamilton Southeastern,Akron,560576
26,15,22,Teniesha Clarke,Fr.,G,5-9,"Burlington, Canada",AN Meyer Secondary,Akron,560576
22,0,12,Kailyn Nash,Jr.,F,5-10,"Muskegon, MI",,Alabama A&M,560578
31,22,3,Alisha Wilson,Jr.,F,6-2,"Pomona, CA",Bonita High School,Alabama A&M,560578
29,2,20,Chynell Mitchell,Sr.,F,6-0,"Austin, TX",,Alabama A&M,560578
31,31,11,Amiah Simmons,Jr.,G,5-9,"Osawatomie, KS",,Alabama A&M,560578
0,0,23,Taylor Smith,Sr.,G,5-5,"Fosters, AL",,Alabama A&M,560578
22,7,1,Asianae Nicholson,So.,F,5-10,"South Euclid, OH",Brush HS,Alabama A&M,560578
31,20,34,Jayla Cody,Sr.,C,6-1,"Valdosta, GA",,Alabama A&M,560578
31,30,0,Darian Burgin,Sr.,G,5-7,"Cincinnati, OH",Walnut Hills HS,Alabama A&M,560578
28,10,2,LaCambria Shakespeare,Jr.,C,6-4,"Duluth, GA",Collins Hill HS,Alabama A&M,560578
